title,property_number,property_price,additional_cost,debt,built_year,size,rooms,bathrooms,bedrooms,shared_entrance,parking,elevator,laus_strax,price,price_per_sqm,property_type,property_address,latitude,longitude,description,url
Mýrargata 37,F2521728,54.400.000 kr.,0 kr.,0 kr.,Byggt 2023,"69,3 m²",3 herb.,1 baðherb.,2 svefnh.,Sameiginl. inngangur,,Lyfta,,350.000 kr.,5.051                                            þ.kr./m,fjölbýlishús,101 Reykjavík,,,"TIL LEIGU, LAUS STRAX/AVAILBLE NOW: Björt og falleg ný  þriggja herbergja íbúð á 1. hæð við Mýrargötu 37, 101 Reykjavík LANGTÍMALEIGA. LEIGUVERÐ: 350.000  + rafmagn. búðin er með hita í gólfum, gólfsíðum gluggum, vönduðum innréttingumfrá Axis, Quarts stein í borðplötu í eldhúsi, Siemens eldavél og innbyggðum ísskáp með frysti. Þvottahús innaf baðherbergi. Stutt er í ýmiskonar þjóustu og verslun á svæðinu, m.a. göngufjarlægð frá Bónus, Krónunni, Nettó, kaffihúsum, bakaríum, veitingastöðum, apótekum, höfninni, ísbúðum o.fl.  Íbúð 103 er 3.herbergja íbúð á 1.hæð með sér þvottahúsi innaf baðherbergi. Birt stærð eignar eru alls 69,3 m2 og þar af er sér geymsla í sameign 6,3 m2 merkt  og því birt flatarmál íbúðar 63,0 m2. Innréttingar og skápar eru íslensk smíði frá AXIS. Borðplata í eldhúsi er ljós Quartz-steinn frá Granítsmiðjunni og er vaskur í eldhúsi undirlímdur. Eldhústæki eru vönduð .Innbyggður ísskápur, Spanhelluborð og Combi-bakaraofn. Tengi fyrir uppþvottavél og fylgir innréttingarfrontur. Gólfhitakerfi með Danfoss stýribúnaði. Leiga 350.000 +rafmagn. Þriggja mánaða bankaábyrgð eða sama fjárhæð í tryggingu. Engin gæludýr leyfð. Reykingar ekki leyfðar. Hrein vanskilaskrá skilyrði. Beautiful two bedroom apartment in the heart of Reykjavik. Available now.  Longterm rent.  Áhugasamir sendið upplýsingar á Stefán Jarl í  stefan@fastlind.is",https://fasteignir.visir.is/property/634645
Smiðjuvegur 74,F2273851,0 kr.,0 kr.,0 kr.,,300 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,200 Kópavogur,,,"Atvinnueign kynnir til leigu:  Um 300 fm verslunarhúsnæði við Smiðjuveg 74 í Kópavogi. Um er að ræða húsnæði sem er opið rými að mestu, með aðgengi beint af götu. Eitt salerni, kaffikrókur og búið að stúka af lagerrými inní rýminu. Sérmerkt bílastæði fyrir framan rými fylgja. Laust eftir samkomulagi. Nánari upplýsingar veitir: Davíð Jens Guðlaugsson  löggiltur leigumiðlari í tölvupósti  david@atvinnueign.is  eða í síma  846-7495 . Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu  Atvinnueignar ehf,   www.atvinnueign.is                - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/632439
Lóuhólar 2-4,F2049250,0 kr.,0 kr.,0 kr.,,"127,1 m²",0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,111 Reykjavík,,,"Atvinnueign kynnir til leigu:   127,1 fm. verslunarhúsnæði á jarðhæð, í verslunarkjarnananum Hólagarði, við Lóuhóla í Breiðholti. Um er að ræða að mestu opið verslunarrými með starfsmannaaðstöðu baka til. Innangengt er í rýmið bæði utan af götu og innan úr verslunarkjarnanum. Rýmið er innréttað sem ísbúð í dag en getur nýst á margvíslegan máta. Góð aðkoma og fjöldi bílastæða. Laust strax. Allar nánari upplýsingar veitir:  Davíð Jens Guðlaugsson löggiltur leigumiðlari í tölvupósti  david@atvinnueign.is  eða í síma 846-7495. Halldór Már Sverrisson löggiltur fasteignasali í tölupósti  halldor@atvinnueign.is  eða í síma 898-5599. Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu Atvinnueignar ehf,  www.atvinnueign.is                 - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/632438
Geirsgata 9,F2000237,0 kr.,0 kr.,0 kr.,,350 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,101 Reykjavík,,,"Atvinnueign kynnir   til leigu:  Þjónustu- og/eða veitingahúsnæði við Geirsgötu. Um er að ræða þjónustu- og/eða veitingarými á jarðhæð á góðum stað höfnina. Rýmið innréttað og útbúið sem veitingastaður í dag en hægt er að endurinnrétta rýmið í takt við þarfir.   Allar nánari upplýsingar á og utan opnunartíma veitir: Davíð Jens Guðlaugsson,  löggiltur leigumiðlari í síma  846-7495  eða  david@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu  Atvinnueignar eh f,  www.atvinnueign.is                 - Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/632442
Köllunarklettsvegur 2,,0 kr.,0 kr.,0 kr.,,670 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,104 Reykjavík,64.15187966,-21.87016536,"Jöfur atvinnuhúsnæði   s. 534-1020   kynnir:  Til leigu um 670 m² lagerhúsnæði við Köllunarklettsveg 2 í Reykjavík, rétt við Sundahöfnina. Laust strax. Húsnæðið er mest einn salur með um 7 metra lofthæð. Þrjár vörudyr eru á húsnæðinu þ.a. tvær með aðkeyrslurampi. Vindfang er við eina innkeyrsludyr. Salerni og kaffiaðstaða til staðar í sameign í húsinu. Stórt bílaplan er við húsið. Hafðu samband við Magnús Kristinsson, löggiltan fasteignasala og leigumiðlara í síma 861-0511, magnus@jofur.is eða Ólaf Jóhannsson, löggiltan fasteignasala og leigumiðlara í síma 824-6703, olafur@jofur.is til að fá upplýsingar um eignina.   Hafðu beint samband við starfsmenn Jöfurs: Bergsveinn Ólafsson  löggiltur fasteignasali - 863-5868 Helgi Már Karlsson  löggiltur fasteignasali - 897-7086 Ólafur Jóhannsson  löggiltur fasteignasali - 824-6703 Magnús Kristinsson  löggiltur fasteignasali - 861-0511 Kynntu þér fleiri eignir og þjónustu Jöfurs atvinnuhúsnæðis á  www.jofur.is",https://fasteignir.visir.is/property/632851
Bíldshöfði 16,F2043213,0 kr.,0 kr.,0 kr.,,80 m²,0 herb.,,,,,,,Tilboð,,atvinnuhúsnæði,110 Reykjavík,,,"Atvinnueign kynnir:  Til leigu 40-500 fm skrifstofurými, að meðtalinni sameign, í skrifstofukjarna við Bíldshöfða í Reykjavík. Húsnæðið er á 3. hæð (hægt að ganga inn um inngang 2. hæð). Í sameign eru salerni, fundarherbergi og kaffiaðstaða. Hægt er að leigja til skemmri eða lengri tíma, farið er fram á þriggja mánaða tryggingu. Húsnæðið er í standsetningu en rýmin skilast fullbúin. Ekki virðisaukaskattur á leigu. Laust eftir samkomulagi. Nánari upplýsingar veitir:  Davíð Jens Guðlaugsson , löggiltur leigumiðlari í síma  846-7495  eða  david@atvinnueign.is Á vefsíðu okkar getur þú fundið fleiri eignir sem og kynnt þér þjónustu  Atvinnueignar ehf ,  www.atvinnueign.is -  Atvinnueignir eru okkar fag -",https://fasteignir.visir.is/property/632451
Reynimelur 44,F2027039,68.250.000 kr.,39.650.000 kr.,0 kr.,Byggt 1942,"90,8 m²",3 herb.,,,,,,,310.000 kr.,3.414                                            þ.kr./m,fjölbýlishús,107 Reykjavík,64.14496194,-21.95582056,"Íbúðaeignir kynna TIL LEIGU :  Snyrtileg og falleg 90,8 fm. tveggja til þriggja herbergja íbúð á annari hæð í vesturbæ Reykjavíkur.  Nánari lýsng: Samliggjandi stofa og borðstofa með rennihurð á milli. Hjónaherbergi með fataskáp. Eldhús með nýjum innbyggðum ísskáp og nýlegri innbyggðri uppvöskunarvél.  Baðherbergi er með baðkari og sturtuhaus fyrir ofan.  Í kjallara er sameiginlegt þvottahús þar sem hver er með sínar eigin vélar.  Fjölskylduvænt hverfi og mjög góð staðsetning þar sem stutt er í alla helstu þjónustu. Skilyrði er að leigutaki sé reyklaus og reglusamur. Gæludýr eru leyfð.  Leigutaki þarf að geta lagt fram 2ja mánaða leigu inná vörlureikning leigusala. Eignin er laus strax við undirritun samnings. Leigan er 310 þús á mánuði innifalið í leiguverði er hússjóður og hiti. Rafmagn er greitt af leigutaka. Áhugasamir senda upplýsingar þar sem fram koma persónulegar upplýsingar, fjölskylduhagir, starfsvettvangur og fl. Trúnaðar er gætt.  Sendið umsókn á netfangið:  halldor@ibudaeignir.is Halldór Már Sverrisson viðskiptafræðingur, löggiltur fasteignasali og leigumiðlari Atvinnueign / Íbúðaeignir  Fleiri leigueignir má sjá inn á   Íbúðaeignir.is -  við hjálpum þér að komast heim   -  við vinnum fyrir þig -  traust og ábyrg þjónusta er allra hagur Ertu í leigu- eða söluhugleiðingum? Hafðu samband við okkur hjá Íbúðaeignum í síma eða í tölvupósti á ibudaeignir@ibudaeignir.is, söluverðmat og ráðgjöf þér að kostnaðarlausu. Einnig er hægt að skoða nánar um okkur á  www.ibudaeignir.is  og á www.facebook.com/ibudaeignir/",https://fasteignir.visir.is/property/632279
Víkurhvarf 1,F2301029,242.900.000 kr.,346.800.000 kr.,0 kr.,Byggt 2007,961 m²,0 herb.,3 baðherb.,,,,,,Tilboð,,atvinnuhúsnæði,203 Kópavogur,64.09418675,-21.80935604,"RE/MAX kynnir til leigu: 961 fm húsnæði við Víkurhvarf 1 í Kópavogi.  Tilbúið til afhendingar strax. Húsnæðið bíður upp á allskyns rekstur. Síðast var í húsnæðinu dansskóli og er öll aðstaða til staðar fyrir sambærilegan rekstur. Leiguverð á fermeter er kr. 2.500 eða samtals kr. 2.402.500.  Athygli er vakin á því að ekki bætist virðisaukaskattur við leiguverðið.  Til viðbótar greiðir leigutaki fyrir rekstarkostnað hússins eins og rafmagn, hita o.þ.h.  SMELLTU HÉR og skoðaðu þessa eign í 3-D 3D - OPIÐ HÚS ÞEGAR ÞÉR HENTAR Í 3D getur þú skoðað eignina hvar sem þú ert í tölvu, síma eða snjalltæki, ferðast auðveldlega á milli herbergja með því að nota músina, örvatakkana á lyklaborðinu eða fingur og kynnt þér rýmið betur. EKKI þarf sérstakt forrit til að skoða eignina í 3D. Ef þú lendir í vandræðum, ekki hika við að hafa samband við mig.  Allar nánari upplýsingar veitir Vilhelm Patrick Bernhöft löggiltur leigumiðlari og fasteignasali í síma: 663-9000 eða á vilhelm@remax.is",https://fasteignir.visir.is/property/633007
Urðarhvarf 14,F2296728,1.373.600.000 kr.,501.250.000 kr.,0 kr.,Byggt 2016,"592,2 m²",0 herb.,,,,,,,1.700.000 kr.,2.871                                            þ.kr./m,atvinnuhúsnæði,203 Kópavogur,64.09739455,-21.81292552,"TIL LEIGU VERSLUNAR- OG LAGERHÚSNÆÐI URÐARHVARFI 14  - 203 KÓPAVOGUR Til leigu 592,2 fm á verslunar- og lagerhúsnæði í Urðarhvarfi. Lofthæðin er 4,5m, stórir gluggar og innkeyrsludyr. 7 stæði í bílakjallara fylgja með eigninni. Sá hluti sem er til leigu er merktur með rauðu inn á eina myndina.  Laust til afhendingar í lok júní 2024. Leiguverðið er kr. 1.700.000 á mánuði auk virðisaukaskatts og rekstarkostnaðar. Leigan er tengd vísitölu neysluverðs til verðtryggingar. Allar nánari upplýsingar veitir Vilhelm Patrick Bernhöft löggiltur leigumiðlari og fasteignasali í síma 663-9000 eða á vilhelm@remax.is",https://fasteignir.visir.is/property/633015
Tónahvarf 6 J,F2362921,52.850.000 kr.,62.850.000 kr.,0 kr.,Byggt 2018,"204,1 m²",1 herb.,,,,,,,675.000 kr.,3.307                                            þ.kr./m,atvinnuhúsnæði,203 Kópavogur,64.09498544,-21.81629285,"Til leigu um 204,1m² lager- og iðnaðarhúsnæði auk skrifstofu á góðum stað við Tónahvarf í Kópavogi. Nánari lýsing: Húsnæðið skiptist í 154 m² lagar- og iðnaðarhúsnæði og 50,1 m² skrifstofu á efri hæð. Virðisaukaskattur leggst við leigufjárhæðina. Lóðin er fullfrágengin og malbikuð með góðri aðkomu að athafnasvæði og bílastæðum.  Helstu stærðir: Bílskúrshurð: Hæð 4,2 m og breidd 3,5 m Lofthæð neðri hæðar: 5,72 m og 2,92 m Lofthæð efri hæðar: 2,52 m Nánari upplýsingar veitir Vilhelm Patrick Bernhöft, löggiltur fasteignasali í síma 663-9000 eða í vilhelm@remax.is",https://fasteignir.visir.is/property/633017
